Similarity,AUC,AUPR,F-measure,Recall,Precision
chem,0.514,0.368,0.137,0.152,0.551
target,0.634,0.527,0.494,0.453,0.561
transporter,0.605,0.484,0.427,0.358,0.558
enzyme,0.615,0.497,0.459,0.431,0.537
pathway,0.618,0.505,0.467,0.429,0.529
indication,0.681,0.596,0.567,0.555,0.581
sideeffect,0.604,0.551,0.41,0.418,0.606
offsideeffect,0.66,0.647,0.51,0.502,0.657
