Similarity,AUC,AUPR,F-measure,Recall,Precision
chem,0.5455506628640375,0.1762766314310651,0.4075489502241095,0.44452449567723346,0.37625228678456313
target,0.6348050897525866,0.26224269132061,0.5064293796934471,0.5066899958830795,0.5061690314620605
transporter,0.5949046356476547,0.21706294623316097,0.45249241216111935,0.4526554137505146,0.4523295279234804
enzyme,0.6143896833454275,0.28433159938872404,0.5229270520187221,0.7071840263482915,0.41484030670772204
pathway,0.6061398518254069,0.2537944073506462,0.49833432988810117,0.6004528612597777,0.4259015914732078
indication,0.6813977801793656,0.31599444770641094,0.575827705096113,0.6274186908192672,0.532076459806232
sideeffect,0.5769365199464791,0.3412101163038328,0.526396763440554,0.9508027995059696,0.363944372217626
offsideeffect,0.711329539157901,0.3822227841350858,0.6220444818634674,0.9125154384520379,0.47184672698243746
