Similarity,AUC,AUPR,F-measure,Recall,Precision
chem,0.5032924924207632,0.362847962398624,0.017663181402903256,0.008954302181967888,0.6444444444444445
target,0.6305531434006194,0.4826837781778188,0.4936128927936183,0.47128447920955124,0.5181622722643431
transporter,0.6023670824900699,0.4112320470686178,0.46429845573620104,0.4688143268834912,0.4598687531549722
enzyme,0.621781698616746,0.5153210874143961,0.5276956589388517,0.6981268011527377,0.4241495747873937
pathway,0.6064548468473653,0.4381727338008854,0.4930183075490935,0.572354878550844,0.4329985205948766
indication,0.6748122796812973,0.5865487409831203,0.5670363143115511,0.6131123919308358,0.5274015050907481
sideeffect,0.5363405391534101,0.46048013300761004,0.5075695742608146,0.9920749279538905,0.34102246594728464
offsideeffect,0.7338321352726733,0.6567061049228657,0.6404325623310303,0.6582955948950185,0.6235133554299084
